,application_received,application_year,council_district,address,city,zip,units_withdrawn,replacement_unit,yearbuilt,units,sqftmain,center_lat,center_lon,geometry
5094017017,6/30/17,2017,10,837 S FEDORA ST,LOS ANGELES ,90005.0,2,0.0,1917.0,3.0,4341.0,34.05660505,-118.29793795,POINT (-13168866.21448827 4036405.236184801)
5094017018,6/30/17,2017,10,841 S FEDORA ST,LOS ANGELES ,90005.0,4,0.0,1920.0,4.0,3240.0,34.05646765,-118.29793758,POINT (-13168866.17330006 4036386.774425237)
5094017019,3/9/18,2018,10,849 S FEDORA ST,LOS ANGELES ,90005.0,4,0.0,1923.0,4.0,4432.0,34.05631866,-118.29793712,POINT (-13168866.12209309 4036366.755408419)
5094018001,12/4/19,2019,10,854 S NORMANDIE AVE,LOS ANGELES ,90005.0,8,0.0,1923.0,8.0,8732.0,34.0561177,-118.29947356,POINT (-13169037.15781153 4036339.753506848)
5094023027,7/3/19,2019,10,923 S KENMORE AVE,LOS ANGELES ,90006.0,2,0.0,1915.0,2.0,2828.0,34.05507111,-118.2968324,POINT (-13168743.14522523 4036199.129938935)
5094023028,7/3/19,2019,10,931 S KENMORE AVE,LOS ANGELES ,90006.0,2,0.0,1905.0,2.0,2189.0,34.05493372,-118.29683204,POINT (-13168743.10515021 4036180.66985708)
5094023029,7/3/19,2019,10,935 S KENMORE AVE,LOS ANGELES ,90006.0,2,0.0,1906.0,1.0,3353.0,34.05479633,-118.29683166,POINT (-13168743.0628488 4036162.209805142)
5094023038,1/11/17,2017,10,904 S KENMORE AVE,LOS ANGELES ,90006.0,6,0.0,1938.0,6.0,4668.0,34.055624,-118.29620138,POINT (-13168672.90040015 4036273.417996387)
5094023039,1/11/17,2017,10,900 S KENMORE AVE,LOS ANGELES ,90006.0,6,0.0,1938.0,6.0,5312.0,34.05576401,-118.29620178,POINT (-13168672.94492794 4036292.230261819)
5094024006,1/9/19,2019,10,917 S BERENDO ST,LOS ANGELES ,90006.0,4,0.0,1914.0,4.0,3348.0,34.05521638,-118.29449962,POINT (-13168483.46134349 4036218.648830861)
5094024015,2/7/18,2018,10,924 S CATALINA ST,LOS ANGELES ,90006.0,4,0.0,1912.0,4.0,4232.0,34.05493842,-118.29501046,POINT (-13168540.32779217 4036181.301360951)
5094025002,9/20/13,2013,10,901 S NEW HAMPSHIRE AVE,Los Angeles ,90006.0,4,16.0,1911.0,4.0,2918.0,34.05571566,-118.29316163,POINT (-13168334.51697801 4036285.733772101)
5094025017,6/20/18,2018,10,920 S BERENDO ST,LOS ANGELES ,90006.0,12,0.0,1923.0,12.0,7496.0,34.05504767,-118.29375627,POINT (-13168400.71200001 4036195.98047675)
5094026018,3/12/20,2020,10,2926 W JAMES M. WOOD BLVD,LOS ANGELES ,90006.0,10,0.0,1962.0,10.0,7042.0,34.05578167,-118.29252009,POINT (-13168263.10107188 4036294.603127446)
5101008023,9/29/15,2015,9,326 E 57TH ST,LOS ANGELES ,90011.0,3,0.0,1952.0,3.0,1408.0,33.99043259,-118.26912169,POINT (-13165658.40309851 4027517.429059763)
5101031024,10/6/20,2020,9,132 W 54TH ST,LOS ANGELES ,90037.0,2,0.0,1910.0,2.0,2128.0,33.99304846,-118.27525395,POINT (-13166341.04315912 4027868.642343245)
5101031032,2/5/18,2018,9,5415 S MAIN ST,LOS ANGELES ,90037.0,15,0.0,1909.0,2.0,7321.0,33.99268178,-118.27436032,POINT (-13166241.56472256 4027819.410312884)
5103010006,8/29/18,2018,9,748 E 54TH ST,LOS ANGELES ,90011.0,2,0.0,1904.0,2.0,990.0,33.99309656,-118.26183007,POINT (-13164846.70367305 4027875.100471424)
5103011003,3/27/19,2019,9,750 E 55TH ST,LOS ANGELES ,90011.0,2,0.0,1924.0,2.0,1288.0,33.99224867,-118.26133433,POINT (-13164791.51814868 4027761.25937933)
5104009002,7/11/16,2016,9,5307 S COMPTON AVE,LOS ANGELES ,90011.0,1,0.0,1910.0,2.0,1866.0,33.9945688,-118.24811231,POINT (-13163319.64961502 4028072.77198277)
5104013020,12/10/19,2019,9,1213 E 54TH ST,LOS ANGELES ,90011.0,2,0.0,1903.0,2.0,1289.0,33.99417443,-118.25385257,POINT (-13163958.65243525 4028019.821235328)
5104024009,2/11/16,2016,9,1121 E 57TH ST,LOS ANGELES ,90011.0,2,0.0,0.0,2.0,2269.0,33.99139024,-118.25575857,POINT (-13164170.8273847 4027646.004302069)
5106020002,11/28/18,2018,9,4859 S LONG BEACH WEST AVE,LOS ANGELES ,90058.0,3,0.0,1908.0,3.0,1798.0,33.9990501,-118.24368727,POINT (-13162827.05641549 4028674.478485692)
5107002010,4/9/20,2020,9,1223 E 45TH ST,LOS ANGELES ,90011.0,2,0.0,1905.0,2.0,1484.0,34.00326674,-118.25363867,POINT (-13163934.84119616 4029240.67793779)
5107010027,1/19/21,2021,9,4617 S HOOPER AVE,LOS ANGELES ,90011.0,1,0.0,1945.0,3.0,1560.0,34.00151069,-118.2524501,POINT (-13163802.53018899 4029004.876695768)
